관측소코드,관측소명,관측시간,시강수량,비고
4001430,진안군(도통리),2020-10-01 01,0,
4001440,임실군(용암리),2020-10-01 01,0,
4001450,순창군(시산리),2020-10-01 01,0,
4003420,임실군(섬진강댐),2020-10-01 01,0,
4007450,보성군(복내리),2020-10-01 01,0,
4007470,순천시(주암댐),2020-10-01 01,0,
4007472,화순군(동가리),2020-10-01 01,0,
4007474,화순군(맹리),2020-10-01 01,0,
4009460,순천시(우산리),2020-10-01 01,0,
9000140,화순군(동복댐),2020-10-01 01,0,
9000233,장흥군(봉동리),2020-10-01 01,0,
9000234,보성군(보성강댐),2020-10-01 01,0,
4001430,진안군(도통리),2020-10-01 02,0,
4001440,임실군(용암리),2020-10-01 02,0,
4001450,순창군(시산리),2020-10-01 02,0,
4003420,임실군(섬진강댐),2020-10-01 02,0,
4007450,보성군(복내리),2020-10-01 02,0,
4007470,순천시(주암댐),2020-10-01 02,0,
4007472,화순군(동가리),2020-10-01 02,0,
4007474,화순군(맹리),2020-10-01 02,0,
4009460,순천시(우산리),2020-10-01 02,0,
9000140,화순군(동복댐),2020-10-01 02,0,
9000233,장흥군(봉동리),2020-10-01 02,0,
9000234,보성군(보성강댐),2020-10-01 02,0,
4001430,진안군(도통리),2020-10-01 03,0,
4001440,임실군(용암리),2020-10-01 03,0,
4001450,순창군(시산리),2020-10-01 03,0,
4003420,임실군(섬진강댐),2020-10-01 03,0,
4007450,보성군(복내리),2020-10-01 03,0,
4007470,순천시(주암댐),2020-10-01 03,0,
4007472,화순군(동가리),2020-10-01 03,0,
4007474,화순군(맹리),2020-10-01 03,0,
4009460,순천시(우산리),2020-10-01 03,0,
9000140,화순군(동복댐),2020-10-01 03,0,
9000233,장흥군(봉동리),2020-10-01 03,0,
9000234,보성군(보성강댐),2020-10-01 03,0,
4001430,진안군(도통리),2020-10-01 04,0,
4001440,임실군(용암리),2020-10-01 04,0,
4001450,순창군(시산리),2020-10-01 04,0,
4003420,임실군(섬진강댐),2020-10-01 04,0,
4007450,보성군(복내리),2020-10-01 04,0,
4007470,순천시(주암댐),2020-10-01 04,0,
4007472,화순군(동가리),2020-10-01 04,0,
4007474,화순군(맹리),2020-10-01 04,0,
4009460,순천시(우산리),2020-10-01 04,0,
9000140,화순군(동복댐),2020-10-01 04,0,
9000233,장흥군(봉동리),2020-10-01 04,0,
9000234,보성군(보성강댐),2020-10-01 04,0,
4001430,진안군(도통리),2020-10-01 05,0,
4001440,임실군(용암리),2020-10-01 05,0,
4001450,순창군(시산리),2020-10-01 05,0,
4003420,임실군(섬진강댐),2020-10-01 05,0,
4007450,보성군(복내리),2020-10-01 05,0,
4007470,순천시(주암댐),2020-10-01 05,0,
4007472,화순군(동가리),2020-10-01 05,0,
4007474,화순군(맹리),2020-10-01 05,0,
4009460,순천시(우산리),2020-10-01 05,0,
9000140,화순군(동복댐),2020-10-01 05,0,
9000233,장흥군(봉동리),2020-10-01 05,0,
9000234,보성군(보성강댐),2020-10-01 05,0,
4001430,진안군(도통리),2020-10-01 06,0,
4001440,임실군(용암리),2020-10-01 06,0,
4001450,순창군(시산리),2020-10-01 06,0,
4003420,임실군(섬진강댐),2020-10-01 06,0,
4007450,보성군(복내리),2020-10-01 06,0,
4007470,순천시(주암댐),2020-10-01 06,0,
4007472,화순군(동가리),2020-10-01 06,0,
4007474,화순군(맹리),2020-10-01 06,0,
4009460,순천시(우산리),2020-10-01 06,0,
9000140,화순군(동복댐),2020-10-01 06,0,
9000233,장흥군(봉동리),2020-10-01 06,0,
9000234,보성군(보성강댐),2020-10-01 06,0,
4001430,진안군(도통리),2020-10-01 07,0,
4001440,임실군(용암리),2020-10-01 07,0,
4001450,순창군(시산리),2020-10-01 07,0,
4003420,임실군(섬진강댐),2020-10-01 07,0,
4007450,보성군(복내리),2020-10-01 07,0,
4007470,순천시(주암댐),2020-10-01 07,0,
4007472,화순군(동가리),2020-10-01 07,0,
4007474,화순군(맹리),2020-10-01 07,0,
